Year,CountyCode,CountyName,CauseOfLossCode,CauseOfLossDescription,MonthOfLoss,MonthOfLossName,PoliciesEarningPremium,PoliciesIndemnified,NetPlantedAcres,Liability,TotalPremium,NetAcresLoss,Indemnity,IndemnityByPremium
2001,11,Colusa                        ,93,Wildlife                                                                                            ,6,JUN,1,1,72.6,32042,1968,72.6,22295,11.33
2001,11,Colusa                        ,99,"Other (Snow,Lightning,etc)                                                                        ",6,JUN,1,1,172.1,75956,4664,172.1,8988,1.93
2001,11,Colusa                        ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,1,1,43,20886,1203,43,1494,1.24
2001,21,Glenn                         ,12,Heat                                                                                                ,5,MAY,2,2,45.54,19047,608.4,45.54,6612.6,10.87
2001,21,Glenn                         ,61,Wind/Excess Wind                                                                                    ,5,MAY,2,2,106.26,44443,1419.6,106.26,15429.4,10.87
2001,49,Modoc                         ,13,Failure Of Irrigation Supply                                                                        ,3,MAR,1,1,152,70376,4117,152,70376,17.09
2001,49,Modoc                         ,13,Failure Of Irrigation Supply                                                                        ,6,JUN,2,2,208.13,90538,5296.5,374.34,162842,30.75
2001,49,Modoc                         ,13,Failure Of Irrigation Supply                                                                        ,0,   ,2,2,208.13,90538,5296.5,41.91,-7673,-1.45
2001,61,Placer                        ,12,Heat                                                                                                ,6,JUN,1,1,66.3,18930.69,989.4,66.3,17761.26,17.95
2001,61,Placer                        ,12,Heat                                                                                                ,10,OCT,1,1,232.5,73946,4961,232.5,12840,2.59
2001,61,Placer                        ,13,Failure Of Irrigation Supply                                                                        ,3,MAR,1,1,15.5,2096,84,15.5,2096,24.95
2001,61,Placer                        ,13,Failure Of Irrigation Supply                                                                        ,4,APR,2,2,391.4,57461,2780,387.1,56688,20.39
2001,61,Placer                        ,13,Failure Of Irrigation Supply                                                                        ,3,MAR,8,8,1136.09,230793,22433,1136.09,230793,10.29
2001,61,Placer                        ,13,Failure Of Irrigation Supply                                                                        ,3,MAR,2,2,567.1,100379,12839,567.1,100379,7.82
2001,61,Placer                        ,43,Cold Winter                                                                                         ,7,JUL,1,1,128,57048,3939,128,19469,4.94
2001,61,Placer                        ,61,Wind/Excess Wind                                                                                    ,6,JUN,1,1,63.7,18188.31,950.6,63.7,17064.74,17.95
2001,61,Placer                        ,93,Wildlife                                                                                            ,5,MAY,1,1,100,33264,1107,20,560,0.51
2001,61,Placer                        ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,2,2,304,106110,6336,304,24531,3.87
2001,61,Placer                        ,99,"Other (Snow,Lightning,etc)                                                                        ",5,MAY,1,1,229.9,98506,7102,229.9,28100,3.96
2001,61,Placer                        ,99,"Other (Snow,Lightning,etc)                                                                        ",10,OCT,1,1,481.6,161354,11630,481.6,40274,3.46
2001,77,San Joaquin                   ,1,Decline in Price                                                                                    ,11,NOV,1,1,23.84,7826,573,23.84,995,1.74
2001,77,San Joaquin                   ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,9,9,1253.4,420790,32581,1253.4,59062,1.81
2001,77,San Joaquin                   ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,1,1,12.6,3740,453,12.6,1425,3.15
2001,99,Stanislaus                    ,12,Heat                                                                                                ,5,MAY,1,1,146,52997,3664,146,6198,1.69
